date,close
2026-01-02,184.36
2026-01-03,183.58
2026-01-04,183.20
2026-01-05,182.36
2026-01-06,181.89
2026-01-07,181.28
2026-01-08,180.43
2026-01-09,179.93
2026-01-10,179.06
2026-01-11,178.51
2026-01-12,177.66
2026-01-13,176.84
2026-01-14,176.28
2026-01-15,176.04
2026-01-16,175.24
2026-01-17,174.52
2026-01-18,174.12
2026-01-19,173.98
2026-01-20,173.54
2026-01-21,172.96
2026-01-22,172.84
2026-01-23,171.97
2026-01-24,171.76
2026-01-25,171.09
2026-01-26,170.31
2026-01-27,169.50
2026-01-28,168.85
2026-02-01,168.60
2026-02-02,167.85
2026-02-03,167.41
2026-02-04,167.02
2026-02-05,166.42
2026-02-06,165.96
2026-02-07,165.11
2026-02-08,164.26
2026-02-09,163.52
2026-02-10,163.17
2026-02-11,162.61
2026-02-12,161.96
2026-02-13,161.53
2026-02-14,160.99
2026-02-15,160.33
2026-02-16,160.07
2026-02-17,159.72
2026-02-18,159.02
2026-02-19,158.58
2026-02-20,158.10
2026-02-21,157.90
2026-02-22,157.58
2026-02-23,156.91
2026-02-24,156.80
2026-02-25,155.99
2026-02-26,155.43
2026-02-27,155.13
2026-02-28,154.35
2026-03-01,153.84
2026-03-02,152.98
2026-03-03,152.61
2026-03-04,152.32
2026-03-05,151.88
2026-03-06,151.68
2026-03-07,151.03
2026-03-08,150.69
2026-03-09,150.26
2026-03-10,149.83
2026-03-11,149.29
2026-03-12,149.06
2026-03-13,148.92
2026-03-14,148.40
2026-03-15,148.03
2026-03-16,148.58
2026-03-17,149.64
2026-03-18,150.66
2026-03-19,151.95
2026-03-20,153.11
2026-03-21,153.84
2026-03-22,154.65
2026-03-23,155.68
2026-03-24,156.20
2026-03-25,157.07
2026-03-26,157.70
2026-03-27,158.30
2026-03-28,158.84
2026-04-01,159.96
2026-04-02,160.56
2026-04-03,161.26
2026-04-04,162.07
2026-04-05,163.27
