date,close
2025-01-01,34.63
2025-01-02,36.08
2025-01-03,36.73
2025-01-04,36.94
2025-01-05,37.89
2025-01-06,38.52
2025-01-07,39.37
2025-01-08,40.13
2025-01-09,40.02
2025-01-10,40.49
2025-01-11,41.79
2025-01-12,41.83
2025-01-13,42.55
2025-01-14,42.12
2025-01-15,42.83
2025-01-16,43.32
2025-01-17,42.98
2025-01-18,43.78
2025-01-19,43.75
2025-01-20,42.84
2025-01-21,42.72
2025-01-22,43.07
2025-01-23,43.24
2025-01-24,42.39
2025-01-25,41.87
2025-01-26,41.68
2025-01-27,40.83
2025-01-28,40.53
2025-02-01,40.20
2025-02-02,39.68
2025-02-03,38.80
2025-02-04,38.16
2025-02-05,37.49
2025-02-06,37.05
2025-02-07,36.19
2025-02-08,35.22
2025-02-09,35.34
2025-02-10,34.37
2025-02-11,33.77
2025-02-12,32.65
2025-02-13,32.82
2025-02-14,32.08
2025-02-15,30.76
2025-02-16,30.43
2025-02-17,30.32
2025-02-18,29.86
2025-02-19,29.68
2025-02-20,28.82
2025-02-21,28.93
2025-02-22,28.54
2025-02-23,28.00
2025-02-24,28.18
2025-02-25,28.43
2025-02-26,28.41
2025-02-27,28.16
2025-02-28,28.39
2025-03-01,28.05
2025-03-02,28.53
2025-03-03,29.41
2025-03-04,29.42
2025-03-05,29.62
2025-03-06,30.49
2025-03-07,31.18
2025-03-08,31.73
2025-03-09,32.05
2025-03-10,32.77
2025-03-11,33.52
2025-03-12,34.49
2025-03-13,34.95
2025-03-14,35.56
2025-03-15,36.39
2025-03-16,36.67
2025-03-17,37.41
2025-03-18,38.79
2025-03-19,39.77
2025-03-20,40.06
2025-03-21,40.52
2025-03-22,40.91
2025-03-23,41.83
2025-03-24,42.84
2025-03-25,43.13
2025-03-26,43.34
2025-03-27,44.05
2025-03-28,43.75
2025-04-01,44.30
2025-04-02,44.95
2025-04-03,44.73
2025-04-04,44.69
2025-04-05,44.52
2025-04-06,44.76
2025-04-07,45.06
2025-04-08,43.93
2025-04-09,44.48
2025-04-10,44.23
2025-04-11,43.94
2025-04-12,43.40
2025-04-13,43.01
2025-04-14,42.22
2025-04-15,41.72
2025-04-16,41.01
2025-04-17,40.03
2025-04-18,40.20
2025-04-19,39.24
2025-04-20,38.19
2025-04-21,37.80
2025-04-22,37.08
2025-04-23,36.26
2025-04-24,35.56
2025-04-25,35.07
