date,close
2025-01-01,28.46
2025-01-02,29.13
2025-01-03,28.92
2025-01-04,29.60
2025-01-05,30.98
2025-01-06,31.48
2025-01-07,31.97
2025-01-08,32.11
2025-01-09,32.86
2025-01-10,33.24
2025-01-11,33.54
2025-01-12,33.36
2025-01-13,33.81
2025-01-14,33.87
2025-01-15,34.22
2025-01-16,34.43
2025-01-17,34.25
2025-01-18,33.64
2025-01-19,33.25
2025-01-20,32.72
2025-01-21,32.07
2025-01-22,31.58
2025-01-23,31.49
2025-01-24,30.77
2025-01-25,30.22
2025-01-26,30.08
2025-01-27,29.05
2025-01-28,28.40
2025-02-01,27.39
2025-02-02,26.50
2025-02-03,26.13
2025-02-04,25.30
2025-02-05,25.06
2025-02-06,24.97
2025-02-07,24.12
2025-02-08,23.15
2025-02-09,23.44
2025-02-10,22.99
2025-02-11,22.64
2025-02-12,22.60
2025-02-13,22.32
2025-02-14,22.29
2025-02-15,21.88
2025-02-16,22.60
2025-02-17,22.76
2025-02-18,22.20
2025-02-19,23.12
2025-02-20,23.46
2025-02-21,23.66
2025-02-22,24.23
2025-02-23,24.75
2025-02-24,25.78
2025-02-25,25.98
2025-02-26,26.97
2025-02-27,27.17
2025-02-28,28.38
2025-03-01,29.08
2025-03-02,29.32
2025-03-03,30.08
2025-03-04,31.07
2025-03-05,31.47
2025-03-06,31.78
2025-03-07,32.02
2025-03-08,32.58
2025-03-09,33.34
2025-03-10,33.12
2025-03-11,34.11
2025-03-12,33.65
2025-03-13,34.39
2025-03-14,33.81
2025-03-15,34.40
2025-03-16,34.01
2025-03-17,33.60
2025-03-18,33.32
2025-03-19,33.10
2025-03-20,32.62
2025-03-21,31.87
2025-03-22,31.23
2025-03-23,30.96
2025-03-24,30.77
2025-03-25,29.81
2025-03-26,28.60
2025-03-27,28.66
2025-03-28,27.88
2025-04-01,27.38
2025-04-02,26.00
2025-04-03,25.91
2025-04-04,24.61
2025-04-05,24.63
2025-04-06,23.72
2025-04-07,23.19
2025-04-08,23.42
2025-04-09,22.30
2025-04-10,22.43
2025-04-11,22.55
2025-04-12,21.81
2025-04-13,21.71
2025-04-14,22.40
2025-04-15,22.04
2025-04-16,22.51
2025-04-17,22.07
2025-04-18,22.72
2025-04-19,22.92
2025-04-20,23.87
2025-04-21,23.78
2025-04-22,25.21
2025-04-23,24.88
2025-04-24,26.21
2025-04-25,26.16
2025-04-26,27.07
2025-04-27,28.31
2025-04-28,28.34
2025-05-01,29.04
2025-05-02,30.21
2025-05-03,30.53
2025-05-04,30.79
2025-05-05,32.29
2025-05-06,31.95
2025-05-07,32.29
2025-05-08,32.98
2025-05-09,33.57
2025-05-10,33.95
2025-05-11,33.49
2025-05-12,33.82
2025-05-13,33.53
2025-05-14,33.89
2025-05-15,34.07
2025-05-16,33.83
2025-05-17,33.71
2025-05-18,33.21
2025-05-19,32.90
2025-05-20,32.26
2025-05-21,31.50
2025-05-22,30.68
2025-05-23,30.50
2025-05-24,29.51
2025-05-25,28.63
2025-05-26,28.29
2025-05-27,28.03
2025-05-28,26.60
2025-06-01,26.39
2025-06-02,25.56
2025-06-03,25.06
2025-06-04,24.12
2025-06-05,24.40
2025-06-06,23.22
2025-06-07,23.15
2025-06-08,22.61
2025-06-09,21.93
2025-06-10,22.26
2025-06-11,21.70
2025-06-12,21.56
2025-06-13,21.56
2025-06-14,21.78
2025-06-15,21.89
2025-06-16,22.68
2025-06-17,22.87
2025-06-18,23.73
2025-06-19,24.13
2025-06-20,24.70
2025-06-21,24.49
2025-06-22,25.30
2025-06-23,25.73
2025-06-24,26.73
2025-06-25,27.44
2025-06-26,28.30
2025-06-27,28.89
2025-06-28,29.12
2025-07-01,29.94
2025-07-02,30.67
2025-07-03,30.75
2025-07-04,31.33
2025-07-05,32.21
2025-07-06,32.36
2025-07-07,33.36
2025-07-08,33.20
2025-07-09,33.31
2025-07-10,33.56
2025-07-11,33.71
2025-07-12,33.71
2025-07-13,33.96
2025-07-14,33.77
2025-07-15,33.40
2025-07-16,33.45
2025-07-17,32.67
2025-07-18,32.94
2025-07-19,32.52
2025-07-20,31.76
2025-07-21,30.88
2025-07-22,30.35
2025-07-23,29.77
2025-07-24,28.57
2025-07-25,28.26
2025-07-26,27.68
2025-07-27,26.66
2025-07-28,25.90
2025-08-01,25.97
2025-08-02,24.92
2025-08-03,24.49
2025-08-04,24.36
2025-08-05,23.58
2025-08-06,22.84
2025-08-07,23.18
2025-08-08,22.28
2025-08-09,21.72
2025-08-10,22.25
2025-08-11,21.60
2025-08-12,21.83
2025-08-13,22.46
2025-08-14,22.47
2025-08-15,22.06
2025-08-16,22.81
2025-08-17,23.16
2025-08-18,23.68
2025-08-19,23.91
2025-08-20,24.84
2025-08-21,24.93
2025-08-22,25.77
2025-08-23,26.51
2025-08-24,27.75
2025-08-25,27.58
2025-08-26,28.94
2025-08-27,29.05
2025-08-28,30.09
2025-09-01,30.54
2025-09-02,31.21
2025-09-03,32.05
2025-09-04,32.20
2025-09-05,32.37
2025-09-06,32.76
2025-09-07,33.04
2025-09-08,34.06
2025-09-09,34.02
2025-09-10,34.44
2025-09-11,34.19
2025-09-12,33.46
2025-09-13,33.96
2025-09-14,33.87
2025-09-15,33.53
2025-09-16,32.95
2025-09-17,32.39
2025-09-18,32.01
2025-09-19,31.83
2025-09-20,30.72
2025-09-21,30.36
2025-09-22,29.67
2025-09-23,29.48
2025-09-24,28.65
2025-09-25,28.09
2025-09-26,27.31
2025-09-27,26.11
2025-09-28,25.40
2025-10-01,25.04
2025-10-02,24.23
2025-10-03,23.87
2025-10-04,23.64
2025-10-05,23.47
2025-10-06,22.78
2025-10-07,22.73
2025-10-08,21.79
2025-10-09,21.92
2025-10-10,22.50
2025-10-11,21.67
2025-10-12,22.04
2025-10-13,21.86
2025-10-14,22.13
2025-10-15,23.26
2025-10-16,23.74
2025-10-17,23.85
2025-10-18,23.83
2025-10-19,24.55
2025-10-20,25.08
2025-10-21,26.15
2025-10-22,26.82
2025-10-23,27.25
2025-10-24,28.02
2025-10-25,28.30
2025-10-26,29.40
2025-10-27,30.47
2025-10-28,30.90
2025-11-01,30.84
2025-11-02,31.81
2025-11-03,32.52
2025-11-04,32.51
2025-11-05,33.53
2025-11-06,33.42
2025-11-07,33.91
2025-11-08,33.78
2025-11-09,34.47
2025-11-10,34.28
2025-11-11,34.01
2025-11-12,33.45
2025-11-13,33.53
2025-11-14,32.84
2025-11-15,33.05
2025-11-16,32.92
2025-11-17,31.74
2025-11-18,31.54
2025-11-19,30.93
2025-11-20,30.24
2025-11-21,29.90
2025-11-22,29.46
2025-11-23,28.55
2025-11-24,27.63
2025-11-25,27.44
2025-11-26,26.14
2025-11-27,25.91
2025-11-28,25.21
2025-12-01,24.73
2025-12-02,24.30
2025-12-03,23.19
2025-12-04,23.17
2025-12-05,22.60
2025-12-06,22.58
2025-12-07,22.67
2025-12-08,22.20
2025-12-09,21.51
2025-12-10,21.99
2025-12-11,22.33
2025-12-12,22.68
2025-12-13,22.69
2025-12-14,23.18
2025-12-15,22.77
2025-12-16,24.14
2025-12-17,24.43
2025-12-18,24.86
2025-12-19,25.76
2025-12-20,26.37
2025-12-21,26.24
2025-12-22,27.63
2025-12-23,28.27
2025-12-24,28.38
2025-12-25,29.60
2025-12-26,30.10
2025-12-27,30.34
2025-12-28,31.55
2025-01-01,31.44
2025-01-02,32.42
2025-01-03,32.69
2025-01-04,32.89
2025-01-05,33.52
2025-01-06,33.67
2025-01-07,33.59
2025-01-08,34.44
2025-01-09,33.57
2025-01-10,33.44
2025-01-11,33.79
2025-01-12,33.93
2025-01-13,33.46
2025-01-14,33.21
2025-01-15,32.52
2025-01-16,32.23
2025-01-17,31.36
2025-01-18,30.72
2025-01-19,30.34
2025-01-20,29.22
2025-01-21,28.60
2025-01-22,28.60
2025-01-23,27.33
2025-01-24,27.23
2025-01-25,26.59
2025-01-26,25.57
2025-01-27,25.22
2025-01-28,24.76
2025-02-01,24.31
2025-02-02,23.10
2025-02-03,22.71
2025-02-04,22.58
2025-02-05,22.37
2025-02-06,21.99
2025-02-07,21.57
2025-02-08,22.06
2025-02-09,22.49
2025-02-10,21.99
2025-02-11,22.33
2025-02-12,22.42
2025-02-13,22.80
2025-02-14,23.62
2025-02-15,23.51
2025-02-16,24.35
2025-02-17,24.74
2025-02-18,25.39
2025-02-19,26.40
2025-02-20,26.22
2025-02-21,27.64
2025-02-22,27.80
2025-02-23,28.83
2025-02-24,29.65
2025-02-25,30.17
2025-02-26,30.54
2025-02-27,31.58
2025-02-28,31.39
2025-03-01,32.44
2025-03-02,32.64
2025-03-03,33.17
2025-03-04,33.81
2025-03-05,34.00
2025-03-06,34.01
2025-03-07,33.79
2025-03-08,33.73
