date,close
2026-01-02,400.22
2026-01-03,400.03
2026-01-04,400.50
2026-01-05,400.89
2026-01-06,401.59
2026-01-07,402.92
2026-01-08,403.82
2026-01-09,404.45
2026-01-10,405.24
2026-01-11,406.12
2026-01-12,406.01
2026-01-13,407.24
2026-01-14,408.29
2026-01-15,409.49
2026-01-16,410.57
2026-01-17,411.00
2026-01-18,411.43
2026-01-19,411.40
2026-01-20,412.21
2026-01-21,412.11
2026-01-22,412.02
2026-01-23,412.16
2026-01-24,412.22
2026-01-25,412.56
2026-01-26,412.44
2026-01-27,412.24
2026-01-28,412.29
2026-02-01,412.25
2026-02-02,412.63
2026-02-03,412.47
2026-02-04,413.67
2026-02-05,414.45
2026-02-06,414.49
2026-02-07,414.69
2026-02-08,415.05
2026-02-09,415.43
2026-02-10,415.43
2026-02-11,416.59
2026-02-12,417.98
2026-02-13,418.52
2026-02-14,419.10
2026-02-15,419.03
2026-02-16,419.00
2026-02-17,419.35
2026-02-18,419.57
2026-02-19,420.70
2026-02-20,420.75
2026-02-21,420.59
2026-02-22,421.91
2026-02-23,422.56
2026-02-24,422.59
2026-02-25,423.26
2026-02-26,423.10
2026-02-27,423.75
2026-02-28,425.11
2026-03-01,426.30
2026-03-02,427.21
2026-03-03,427.43
2026-03-04,427.81
2026-03-05,427.88
2026-03-06,428.92
2026-03-07,429.57
2026-03-08,430.62
2026-03-09,430.94
2026-03-10,431.10
2026-03-11,432.20
2026-03-12,433.57
2026-03-13,434.74
2026-03-14,435.83
2026-03-15,436.94
2026-03-16,437.92
2026-03-17,438.08
2026-03-18,438.71
2026-03-19,439.08
2026-03-20,438.93
2026-03-21,438.77
2026-03-22,439.02
2026-03-23,439.23
2026-03-24,440.14
2026-03-25,441.47
2026-03-26,441.99
2026-03-27,443.29
2026-03-28,444.67
2026-04-01,446.00
2026-04-02,446.38
2026-04-03,446.53
2026-04-04,446.70
2026-04-05,446.81
2026-04-06,446.94
2026-04-07,447.74
2026-04-08,448.98
2026-04-09,450.12
2026-04-10,450.69
2026-04-11,451.53
2026-04-12,452.61
2026-04-13,452.55
2026-04-14,453.40
2026-04-15,454.66
2026-04-16,455.71
2026-04-17,456.71
2026-04-18,457.28
2026-04-19,457.36
2026-04-20,458.43
2026-04-21,458.76
2026-04-22,459.84
